prefix	content	marker	group	section	subsection	subsubsection	title	section_tag	context_mask	chunk_summary	group_summary	section_summary
4	Warning LED Lights Indicators of engine status and potential problems.  See Sections 2.2 and 13.0 manual.	2	108	8	0	0		19	0	Warning LED Lights Indicators of engine status and potential problems.  See Sections 2.2 and 13.0 manual.	Warning LED Lights Indicators of engine status and potential problems.  See Sections 2.2 and 13.0 manual. Programmable Logic Control (PLC) This is the display that monitors the power unit’s operating functions as described in Section 2.2 of this  manual. Warning/Operations Labels Adhere to all warning and operations labels, both located on the Instrument Panel and within this manual. A valve should be set in the WET/OFF position when drafting water from an off-board source. This control should be placed in either the ON or WET position when drafting water from an off board source, and not	
5	Programmable Logic Control (PLC) This is the display that monitors the power unit’s operating functions as described in Section 2.2 of this  manual.	2	108	8	0	0		19	0	Programmable Logic Control (PLC) This is the display that monitors the power unit’s operating functions as described in Section 2.2 of this  manual.		
6	Warning/Operations Labels Adhere to all warning and operations labels, both located on the Instrument Panel and within this manual.	2	108	8	0	0		19	0	Warning/Operations Labels Adhere to all warning and operations labels, both located on the Instrument Panel and within this manual.		
7	Air Control Valve Proportions the air-to-solution ratios specific to foaming solutions. During operation of the VMDS using anything BUT foaming solutions, this valve should be set in the WET/OFF position. The “D” next to the ON/WET valve position indicates that this control should be placed in the ON/WET position when drafting water from an off-board source.	2	108	8	0	0		19	0	A valve should be set in the WET/OFF position when drafting water from an off-board source. This control should be placed in either the ON or WET position when drafting water from an off board source, and not		
8	Selector Valves 1 & 2	2	108	8	0	0		19	1	Selector Valves 1 & 2		
	These two valves control the operations of the VMDS. Push to turn and select function. See Section 2.1 of this manual.	-1	109	8	0	0		19	0	These two valves control the operations of the VMDS. Push to turn and select function. See Section 2.1 of this manual.	These two valves control the operations of the VMDS. Push to turn and select function. See Section 2.1 of this manual.	
3.	Air Compressor Gauges	2	110	8	0	0		19	1	Air Compressor Gauges		
1.	Pump Control Valve	2	111	8	0	0		19	1	Pump Control Valve		
5.	Programmable Logic Control	2	112	8	0	0		19	1	Programmable Logic Control		
	7. Air Control Valve	-1	113	8	0	0		19	1	7. Air Control Valve		
8.	Selector Valves 1 & 2	2	113	8	0	0		19	1	Selector Valves 1 & 2		
	PUSH TO TURN (FUNCTIONS)	-1	114	8	0	0		19	1	PUSH TO TURN (FUNCTIONS)		
4.	Warning LED Lights	2	115	8	0	0		19	1	Warning LED Lights		
2.	Serial Number	2	116	8	0	0		19	1	Serial Number		
6.	Warning/Operations Labels	2	117	8	0	0		19	1	Warning/Operations Labels		
	(Continuing 2.0 – Location and Description of Operator Controls and Indicators)	-1	118	8	0	0		19	0	(Continuing 2.0 – Location and Description of Operator Controls and Indicators)	(Continuing 2.0 – Location and Description of Operator Controls and Indicators)	
	REF # Control/Indicator Function	-1	119	8	0	0		19	1	REF # Control/Indicator Function		
9	Line 1 Discharge Used for fluid discharge with 1.5 in. hose.	2	120	8	0	0		19	0	Line 1 Discharge Used for fluid discharge with 1.5 in. hose.	VMDS compressor supplies 90-100psi of air to operate pneumatic equipment. Air lines can be connected for these ports to supply power to external pneumatic equipment. Removal this door automatically disable the power unit. Draft Input The Draft port is used by the VMMS compressor to connect to a bulk liquid source (or drop into an natural source) for filling the tank(e). Fuel Cap/Gage Use diesel fuel ONLY! And use only gasoline or diesel	
10	Line 2 Discharge Used for fluid discharge with 1.5 in. hose.	2	120	8	0	0		19	0	Line 2 Discharge Used for fluid discharge with 1.5 in. hose.		
11	Compressed Air Ports The VMDS compressor supplies 90-100 psi of air to operate pneumatic equipment. Air lines can be connected to these auxiliary ports to supply power to external pneumatic equipment. (i.e., the Intelagard Macaw Backpack). Air lines for these ports are supplied separately.	2	120	8	0	0		19	0	Compressed Air Ports The VMDS compressor supplies 90-100 psi of air to operate pneumatic equipment. Air lines can be connected to these auxiliary ports to supply power to external pneumatic equipment. (i.e., the Intelagard Macaw Backpack). Air lines for these ports are supplied separately.		
12	Engine Oil Drain Discharge for engine oil.	2	120	8	0	0		19	0	Engine Oil Drain Discharge for engine oil.		
13	Main Access Panel Used for PMCS access . Removal of this door automatically disables power unit.	2	120	8	0	0		19	0	Main Access Panel Used for PMCS access . Removal of this door automatically disables power unit.		
14	Draft Input The Draft port is used to connect to a bulk liquid source (or drop into a natural source) for filling the VMDS tank(s) The vertical (single Blue Band) and horizontal drafting (dual Blue Bands) hose which connects to this Camlock port are standard.	2	120	8	0	0		19	0	Draft Input The Draft port is used to connect to a bulk liquid source (or drop into a natural source) for filling the VMDS tank(s) The vertical (single Blue Band) and horizontal drafting (dual Blue Bands) hose which connects to this Camlock port are standard.		
15	Fuel Cap/Gauge The fuel gauge is incorporated into the “jerry can” cap. Use Diesel Fuel ONLY!	2	120	8	0	0		19	0	Fuel Cap/Gauge The fuel gauge is incorporated into the “jerry can” cap. Use Diesel Fuel ONLY!		
	NOTE: Engine will stop if Main Access Panel is removed. This is a critical safety feature of the VMDS system. Do not attempt to bypass this safeguard.	-1	121	8	0	0		19	0	NOTE: Engine will stop if Main Access Panel is removed. This is a critical safety feature of the VMDS system. Do not attempt to bypass this safeguard.	NOTE: Engine will stop if Main Access Panel is removed. This is a critical safety feature of the VMDS system. Do not attempt to bypass this safeguard.	
9.	Line 1 Discharge	2	121	8	0	0		19	1	Line 1 Discharge		
13.	Main Access Panel	2	121	8	0	0		19	1	Main Access Panel		
12.	Engine Oil Drain	2	121	8	0	0		19	1	Engine Oil Drain		
11.	Compressor Air Ports	2	121	8	0	0		19	1	Compressor Air Ports		
10.	Line 2 Discharge	2	121	8	0	0		19	1	Line 2 Discharge		
14.	Draft Input	2	122	8	0	0		19	1	Draft Input		
15.	Fuel Cap/Gauge	2	122	8	0	0		19	1	Fuel Cap/Gauge		
	(Continuing 2.0 – Location and Description of Operator Controls and Indicators)	-1	123	8	0	0		19	0	(Continuing 2.0 – Location and Description of Operator Controls and Indicators)	(Continuing 2.0 – Location and Description of Operator Controls and Indicators)	
	REF # Control/Indicator Function	-1	124	8	0	0		19	1	REF # Control/Indicator Function		
16	Tie Down (2 of 4) There are 4 tie downs located on the top of the power unit. These are intended for use to restrain the power module to the bed of the transporting vehicle. Tie down straps are provided with the VMDS. The tie-downs are not used when securing the Power Unit to the vehicle with the Power Unit Platform. See Section 5.2 of this manual.	2	125	8	0	0		19	0	4 tie downs are located on the top of a power unit. Strap is not used when securing the power module to the vehicle with the Power Unit Platform, see Section 5.2.2 of this manual for details relating in detail	Lower glass should always be flooded whether the system is running or not. Upper sight glass cannot been checked since oil is being pulled into compressor if system doesn't run - it's being drawn in separate compartment Compressor Oil Drain Drain for compressor oil. Do Not Touch/Contact CLS Do NOT touch. Contact CLS – this will tighten the belt tension nut to ensure proper fit. Cooling Fan When the vehicle is running, the fan	
17	Side Access Panel For removal during routine maintenance and troubleshooting of the compressor.	2	125	8	0	0		19	0	Side Access Panel For removal during routine maintenance and troubleshooting of the compressor.		
18	Compressor Oil Sight Glasses There are 2 compressor oil sight glasses used to check compressor oil level. The lower glass should always be flooded whether the system is running or not. When the system is not running, the upper sight glass should have a visible line of compressor oil across it. When the system is running, the upper glass cannot be checked since the oil is being pulled into the compressor.	2	125	8	0	0		19	0	Lower glass should always be flooded whether the system is running or not. Upper sight glass cannot be checked since oil is being pulled into compressor if system isn't running - it's being pulled in a separate compartment		
19	Compressor Oil Drain Drain for compressor oil.	2	125	8	0	0		19	0	Compressor Oil Drain Drain for compressor oil.		
20	Do Not Touch/Contact CLS Do not touch. Contact CLS – this is the belt adjustment nut for tightening the belt tension.	2	125	8	0	0		19	0	Do Not Touch/Contact CLS Do not touch. Contact CLS – this is the belt adjustment nut for tightening the belt tension.		
21	Cooling Fan When the VMDS is running, the fan runs to cool the internal components of the system as needed. Keep fingers and other objects out of fan!	2	125	8	0	0		19	0	Cooling Fan When the VMDS is running, the fan runs to cool the internal components of the system as needed. Keep fingers and other objects out of fan!		
16.	Tie Down	2	126	8	0	0		19	1	Tie Down		
16.	Tie Down	2	127	8	0	0		19	1	Tie Down		
17.	Side Access Panel	2	127	8	0	0		19	1	Side Access Panel		
18.	Compressor Oil Sight Glasses	2	127	8	0	0		19	1	Compressor Oil Sight Glasses		
19.	Compressor Oil Drain	2	127	8	0	0		19	1	Compressor Oil Drain		
20.	Do Not Touch Contact CLS	2	127	8	0	0		19	1	Do Not Touch Contact CLS		
21.	Cooling Fan	2	127	8	0	0		19	1	Cooling Fan		
	(Continuing 2.0 – Location and Description of Operator Controls and Indicators)	-1	128	8	0	0		19	0	(Continuing 2.0 – Location and Description of Operator Controls and Indicators)	(Continuing 2.0 – Location and Description of Operator Controls and Indicators)	
	REF # Control/Indicator Function	-1	129	8	0	0		19	1	REF # Control/Indicator Function		
22	Front Spray Bar Port for connection of 1 in. hose to Front Spray Bar.	2	130	8	0	0		19	0	Front Spray Bar Port for connection of 1 in. hose to Front Spray Bar.	Front Spray Bar Port for connection of 1 in. hose to Front Spray Bar. Rear Spray Bar Port for connection of 1 in. hose to Rear Spray Bar. Monitor Port for connection of 1.5 in. hose to Monitor Monitor Electrical Connection Connector for wired remote for Monitor Agitator Port for connection of 1 in. hose to Agitator Draft Output Port for connection of 1.5 in. hose for Draft Fuel Input Port for fuel intake. USE DIESEL FUEL ONLY! Fuel Output Port for fuel output. USE DIESEL FUEL ONLY! Fluid Input Port for 1.5 in. hose for Fluid Input from tank(s)	
23	Rear Spray Bar Port for connection of 1 in. hose to Rear Spray Bar.	2	130	8	0	0		19	0	Rear Spray Bar Port for connection of 1 in. hose to Rear Spray Bar.		
24	Monitor Port for connection of 1.5 in. hose to Monitor	2	130	8	0	0		19	0	Monitor Port for connection of 1.5 in. hose to Monitor		
25	Monitor Electrical Connection Connector for wired remote for Monitor	2	130	8	0	0		19	0	Monitor Electrical Connection Connector for wired remote for Monitor		
26	Agitator Port for connection of 1 in. hose to Agitator	2	130	8	0	0		19	0	Agitator Port for connection of 1 in. hose to Agitator		
27	Draft Output Port for connection of 1.5 in. hose for Draft	2	130	8	0	0		19	0	Draft Output Port for connection of 1.5 in. hose for Draft		
28	Fuel Input Port for fuel intake. USE DIESEL FUEL ONLY!	2	130	8	0	0		19	0	Fuel Input Port for fuel intake. USE DIESEL FUEL ONLY!		
29	Fuel Output Port for fuel output. USE DIESEL FUEL ONLY! Fluid Input Port for 1.5 in. hose for Fluid Input from tank(s)	2	130	8	0	0		19	0	Fuel Output Port for fuel output. USE DIESEL FUEL ONLY! Fluid Input Port for 1.5 in. hose for Fluid Input from tank(s)		
25.	Monitor Electrical Connection	2	130	8	0	0		19	1	Monitor Electrical Connection		
26.	Agitator	2	130	8	0	0		19	1	Agitator		
27.	Draft Output	2	130	8	0	0		19	1	Draft Output		
22.	Front Spray Bar	2	131	8	0	0		19	1	Front Spray Bar		
23.	Rear Spray Bar	2	131	8	0	0		19	1	Rear Spray Bar		
24.	Monitor	2	131	8	0	0		19	1	Monitor		
28.	Fuel Input	2	132	8	0	0		19	1	Fuel Input	Fluid Input (Continuing 2.0 – Location and Description of Operator Controls and Indicators) REF # Control/Indicator Function Radiator Cap Add coolant here if necessary. Check coolant reservoir inside power unit for levels before adding additional coolant. Cap may be very hot to the touch. Wait for it to cool before opening! Radiator Air Intake Air intake for radiator. Stand clear and do not block.	
29.	Fuel Output	2	132	8	0	0		19	1	Fuel Output		
30.	Fluid Input (Continuing 2.0 – Location and Description of Operator Controls and Indicators) REF # Control/Indicator Function	2	132	8	0	0		19	0	Fluid Input (Continuing 2.0 – Location and Description of Operator Controls and Indicators) REF # Control/Indicator Function		
31	Radiator Cap Add coolant here if necessary. Check coolant reservoir inside power unit for levels before adding additional coolant. Cap may be very hot to the touch. Wait for it to cool before opening! Radiator Air Intake Air intake for radiator. Stand clear and do not block.	2	132	8	0	0		19	0	Radiator Cap Add coolant here if necessary. Check coolant reservoir inside power unit for levels before adding additional coolant. Cap may be very hot to the touch. Wait for it to cool before opening! Radiator Air Intake Air intake for radiator. Stand clear and do not block.		
31.	Radiator Cap	2	132	8	0	0		19	1	Radiator Cap		
32.	Radiator Air Intake	2	132	8	0	0		19	1	Radiator Air Intake		
	REF # Control/Indicator Function	-1	133	8	0	0		19	1	REF # Control/Indicator Function		
33	Tie Down (2 of 4) There are 4 tie downs located on the top of the power unit. These are intended for use to restrain the power module to the bed of the transporting vehicle. Tie down straps are provided with the VMDS. The tie-downs are not used when securing the Power Unit to the vehicle with the Power Unit Platform. See Section 5.2 of this manual.	2	134	8	0	0		19	0	4 tie downs are located on the top of a power unit. Strap is not used when securing the power module to the vehicle with the Power Unit Platform, see Section 5.2.2 of this manual for details relating in detail	4 tie downs are located on the top of a power unit. Strap is not used when securing the power module to the vehicle with the Power Unit Platform, see Section 5.2.2 of this manual for details relating in detail Battery Box Location for the system’s 12 volt battery, fuse box, emergency kill switches (2) and automatic battery charger (not shown). Pump Access Panel Access for system pump. Any attempt to open or tamper with pump will void system warranties . Install and secure the Pump Access Panel before operating the system.	
34	Battery Box Location for the system’s 12 volt battery, fuse box, emergency kill switches (2) and automatic battery charger (not shown).	2	134	8	0	0		19	0	Battery Box Location for the system’s 12 volt battery, fuse box, emergency kill switches (2) and automatic battery charger (not shown).		
35	Pump Access Panel Access for system pump. Any attempt to open or tamper with pump will void system warranties . Install and secure the Pump Access Panel before operating the system.	2	134	8	0	0		19	0	Pump Access Panel Access for system pump. Any attempt to open or tamper with pump will void system warranties . Install and secure the Pump Access Panel before operating the system.		
33.	Tie Down	2	134	8	0	0		19	1	Tie Down		
33.	Tie Down	2	135	8	0	0		19	1	Tie Down		
34.	Battery Box	2	135	8	0	0		19	1	Battery Box		
35.	Pump Access Panel	2	135	8	0	0		19	1	Pump Access Panel		
	(Continuing 2.0 – Location and Description of Operator Controls and Indicators)	-1	136	8	0	0		19	0	(Continuing 2.0 – Location and Description of Operator Controls and Indicators)	(Continuing 2.0 – Location and Description of Operator Controls and Indicators)	
	REF # Control/Indicator Function	-1	137	8	0	0		19	1	REF # Control/Indicator Function		
36	Agitator Connector Connector for 1 in. AGITATOR hose. Used to mix decontaminant material with water in tank. Agitator must always run while decontaminant is in tank to prevent clumping.	2	138	8	0	0		19	0	Agitator Connector Connector for 1 in. AGITATOR hose. Used to mix decontaminant material with water in tank. Agitator must always run while decontaminant is in tank to prevent clumping.	Agitator Connector Connector for 1 in. AGITATOR hose. Used to mix decontaminant material with water in tank. Agitator must always run while decontaminant is in tank to prevent clumping. Hopper/Blender Connector Connector for 1.5 in. HOPPER hose. Used to fill tank with water in DRAFT mode when connected to water source. Fluid Out/Drain Valve Connector for SUCTION MAIN hose; connects to power unit to supply fluid from tank. This port also serves as the drain for the tank. Tank Selector Valve Designates which tank (truck or trailer) the VMDS is pulling water from.	
37	Hopper/Blender Connector Connector for 1.5 in. HOPPER hose. Used to fill tank with water in DRAFT mode when connected to water source.	2	138	8	0	0		19	0	Hopper/Blender Connector Connector for 1.5 in. HOPPER hose. Used to fill tank with water in DRAFT mode when connected to water source.		
38	Fluid Out/Drain Valve Connector for SUCTION MAIN hose; connects to power unit to supply fluid from tank. This port also serves as the drain for the tank.	2	138	8	0	0		19	0	Fluid Out/Drain Valve Connector for SUCTION MAIN hose; connects to power unit to supply fluid from tank. This port also serves as the drain for the tank.		
39	Tank Selector Valve Designates which tank (truck or trailer) the VMDS is pulling water from.	2	138	8	0	0		19	0	Tank Selector Valve Designates which tank (truck or trailer) the VMDS is pulling water from.		
36.	Agitator Connector	2	139	8	0	0		19	1	Agitator Connector		
37.	Hopper/Blender Connector	2	139	8	0	0		19	1	Hopper/Blender Connector		
38.	Fluid Out/Drain Valve	2	139	8	0	0		19	1	Fluid Out/Drain Valve		
39.	Tank Selector Valve	2	139	8	0	0		19	1	Tank Selector Valve		
	REF # Control/Indicator Function	-1	140	8	0	0		19	1	REF # Control/Indicator Function		
40	‘Blabber’ Tip Actuator which controls the fan pattern of liquid dispersed by the monitor.	2	141	8	0	0		19	0	‘Blabber’ Tip Actuator which controls the fan pattern of liquid dispersed by the monitor.	‘Blabber’ Tip Actuator which controls the fan pattern of liquid dispersed by monitor. Halo Acts as protector in event the stanchion should become unbalanced and fall - or be damaged if it is not properly controlled –. Monitor Hose (Purple) Connection Point for purple bandeted monitor, hose and stanchinone pin holder. Stanchions are designed to be used with	
41	Stream & Fog Nozzle Delivery nozzle for the monitor.	2	141	8	0	0		19	0	Stream & Fog Nozzle Delivery nozzle for the monitor.		
42	Halo Acts as a protector of the monitor in the event the stanchion should become unbalanced and fall.	2	141	8	0	0		19	0	Halo Acts as a protector of the monitor in the event the stanchion should become unbalanced and fall.		
43	Small Junction Box Electrical connections for monitor controller.	2	141	8	0	0		19	0	Small Junction Box Electrical connections for monitor controller.		
44	Manual Control Left/Right Manual control of right and left movement of the nozzle.	2	141	8	0	0		19	0	Manual Control Left/Right Manual control of right and left movement of the nozzle.		
45	Manual Control Up/Down Manual control of up and down movement of the nozzle.	2	141	8	0	0		19	0	Manual Control Up/Down Manual control of up and down movement of the nozzle.		
46	Monitor Hose (Purple) Connection Connection point for purple banded monitor hose.	2	141	8	0	0		19	0	Monitor Hose (Purple) Connection Connection point for purple banded monitor hose.		
47	Stanchion Pin Controls placement of the telescoping stanchion. Remove when raising or lowering and replace the Stanchion Pin when it is in the desired position.	2	141	8	0	0		19	0	Stanchion Pin Controls placement of the telescoping stanchion. Remove when raising or lowering and replace the Stanchion Pin when it is in the desired position.		
40.	‘Blabber’ Tip	2	142	8	0	0		19	1	‘Blabber’ Tip		
41.	Stream & Fog Nozzle	2	142	8	0	0		19	1	Stream & Fog Nozzle		
46.	Monitor Hose Connection	2	142	8	0	0		19	1	Monitor Hose Connection		
42.	Halo	2	142	8	0	0		19	1	Halo		
45.	Manual Control Up/Down	2	142	8	0	0		19	1	Manual Control Up/Down		
44.	Manual Control Left/Right	2	142	8	0	0		19	1	Manual Control Left/Right		
43.	Small Junction Box	2	142	8	0	0		19	1	Small Junction Box		
47.	Stanchion Pin	2	142	8	0	0		19	1	Stanchion Pin		
	REF # Control/Indicator Function	-1	143	8	0	0		19	1	REF # Control/Indicator Function		
48	Water Valve On/Off Controls water flow when in ‘Remote’ mode.	2	144	8	0	0		19	0	Water Valve On/Off Controls water flow when in ‘Remote’ mode.	Water Valve On/Off Controls water flow when in ‘Remote’ mode. Stream/Fog Switch Controls fan stream on nozzle. Power On/Off Power switch for monitor. Joystick Controls movement of monitor up, down, right and left. Power LED Indicates power to monitor.	
49	Stream/Fog Switch Controls fan stream on nozzle.	2	144	8	0	0		19	0	Stream/Fog Switch Controls fan stream on nozzle.		
50	Power On/Off Power switch for monitor.	2	144	8	0	0		19	0	Power On/Off Power switch for monitor.		
51	Joystick Controls movement of monitor up, down, right and left.	2	144	8	0	0		19	0	Joystick Controls movement of monitor up, down, right and left.		
52	Power LED Indicates power to monitor.	2	144	8	0	0		19	0	Power LED Indicates power to monitor.		
2.1	SELECTOR VALVES – OPERATIONAL SETTINGS	0	145	8	1	0	SELECTOR VALVES – OPERATIONAL SETTINGS	20	0	SELECTOR VALVES – OPERATIONAL SETTINGS	The Selector Valves govern invidual system functions. To operate each selector knob, PUSH the selector knob IN , SELECT the operation and RELEASE the selector knob. ALWAYS return both selector settings to OFF when NOT operating or before starting the unit.	Selector Valves govern invidual system functions. To operate each selectable knob, PUSH the selectible and RELEASE the selected one - then return both settings to OFF when NOT operating or before starting the unit! OFF – Stops all pump functions to Selecter 1 operations ; LINE 1 send fluid from tank into discharge port for hose spraying operation. AUX 1 – Future expanded operations (not currently used) only active discharge port is the DRAFT output on back of
	The Selector Valves govern invidual system functions. To operate each selector knob, PUSH the selector knob IN , SELECT the operation and RELEASE the selector knob. ALWAYS return both selector settings to OFF when NOT operating or before starting the unit.	-1	145	8	1	0		20	0	The Selector Valves govern invidual system functions. To operate each selector knob, PUSH the selector knob IN , SELECT the operation and RELEASE the selector knob. ALWAYS return both selector settings to OFF when NOT operating or before starting the unit.		
	SELECTOR 1	-1	145	8	1	0		20	1	SELECTOR 1		
1	OFF – Stops all pump functions to Selector 1 operations.	2	146	8	1	0		20	0	OFF – Stops all pump functions to Selector 1 operations.	OFF – Stops all pump functions to Selector 1 operations. LINE 1 – Sends fluid from tank to the LINE 1 discharge port for hose spraying operation. AGITATOR – Controls continuous agitation of tank contents to keep chemicals from settling. FRONT SPRAY BAR – Supplies fluid to the FRONT SPRAY BAR .	
2	LINE 1 – Sends fluid from tank to the LINE 1 discharge port for hose spraying operation.	2	146	8	1	0		20	0	LINE 1 – Sends fluid from tank to the LINE 1 discharge port for hose spraying operation.		
3	AGITATOR – Controls continuous agitation of tank contents to keep chemicals from settling.	2	146	8	1	0		20	0	AGITATOR – Controls continuous agitation of tank contents to keep chemicals from settling.		
4	FRONT SPRAY BAR – Supplies fluid to the FRONT SPRAY BAR .	2	146	8	1	0		20	0	FRONT SPRAY BAR – Supplies fluid to the FRONT SPRAY BAR .		
5		2	146	8	1	0		20	1			
	AUX 1 – Future expanded operations (not currently used).	-1	147	8	1	0		20	0	AUX 1 – Future expanded operations (not currently used).	AUX 1 – Future expanded operations (not currently used).	
49.	Stream/Fog Indicator	2	147	8	1	0		20	1	Stream/Fog Indicator		
48.	Water Valve On/Off	2	147	8	1	0		20	1	Water Valve On/Off		
50.	Power On/Off	2	148	8	1	0		20	1	Power On/Off		
51.	Joystick	2	148	8	1	0		20	1	Joystick		
52.	Power LED	2	148	8	1	0		20	1	Power LED		
6		2	149	8	1	0		20	1			
	DRAFT – Used to pull from a water source to fill tank(s). *** NOTE – When in DRAFT , no other functions are operable. The only active discharge port is the DRAFT OUTPUT on the back of the Power Unit. Use this function to fill tanks with water or to transfer water from tank to tank. You can use this port to mix slurries or bleach solutions, but you cannot agitate the tank while you mix when using this port and function.  The preferred technique is to mix decontaminants by drawing from one of the tanks into the other and discharging into the other tank via the Monitor port on the back or one of the front Discharge ports.	-1	150	8	1	0		20	0	Only active discharge port is the DRAFT OUTPUT on back of unit. You can use this function to mix slurries or bleach solutions - but cannot agitate tank while mixing if using this port	Only active discharge port is the DRAFT OUTPUT on back of unit. You can use this function to mix slurries or bleach solutions - but cannot agitate tank while mixing if using this port	
	SELECTOR 2	-1	150	8	1	0		20	1	SELECTOR 2		
1	OFF – Stops all pump functions to Selector 2 operations.	2	151	8	1	0		20	0	OFF – Stops all pump functions to Selector 2 operations.	OFF – Stops all pump functions to Selector 2 operations. LINE 2 – Sends fluid from tank to the LINE 2 discharge port for hose spraying operation. AUX 2 – Future expanded operations (not currently used). REAR SPRAY BAR – Supplies fluid to the REAR spray bar. MONITOR – Supplies fluid to the monitor for MANUAL operations ONLY.	
2	LINE 2 – Sends fluid from tank to the LINE 2 discharge port for hose spraying operation.	2	151	8	1	0		20	0	LINE 2 – Sends fluid from tank to the LINE 2 discharge port for hose spraying operation.		
3	AUX 2 – Future expanded operations (not currently used).	2	151	8	1	0		20	0	AUX 2 – Future expanded operations (not currently used).		
4	REAR SPRAY BAR – Supplies fluid to the REAR spray bar.	2	151	8	1	0		20	0	REAR SPRAY BAR – Supplies fluid to the REAR spray bar.		
5	MONITOR – Supplies fluid to the monitor for MANUAL operations ONLY.	2	151	8	1	0		20	0	MONITOR – Supplies fluid to the monitor for MANUAL operations ONLY.		
6		2	151	8	1	0		20	1			
	REMOTE MONITOR – Supplies fluid for REMOTE controller monitor operations ONLY.	-1	152	8	1	0		20	0	REMOTE MONITOR – Supplies fluid for REMOTE controller monitor operations ONLY.	REMOTE MONITOR – Supplies fluid for REMOTE controller monitor operations ONLY.	
2.2	PROGRAMMABLE LOGIC CONTROL	0	153	8	2	0	PROGRAMMABLE LOGIC CONTROL	21	0	PROGRAMMABLE LOGIC CONTROL	This section provides the location and description of the Engine Control Display functions.	This section provides the location and description of the Engine Control Display functions. Stop and Reset The engine control display is engaged on first press, starts the engine on second press. When illuminated indicates problem with charging system Oil Pressure - this indicator is a warning indication if engine temperature not within normal operating conditions'stop and reset' buttons are pre-programmed to VMDS specifications and are NOT adjustable – scrolls to display OEM settings & auto mode. Click here for more information about these monitor options. Read our full manual at www
	This section provides the location and description of the Engine Control Display functions.	-1	153	8	2	0		21	0	This section provides the location and description of the Engine Control Display functions.		
3.	Main Status Display	2	153	8	2	0		21	1	Main Status Display		
1.	Start	2	154	8	2	0		21	1	Start		
2.	LED Indicator Lights	2	154	8	2	0		21	1	LED Indicator Lights		
4.	Common Alarm Indicator	2	155	8	2	0		21	1	Common Alarm Indicator	Stop and Reset	
5.	Navigation Button	2	155	8	2	0		21	1	Navigation Button		
7.	Stop and Reset	2	155	8	2	0		21	0	Stop and Reset		
6.	Auto Select Mode	2	155	8	2	0		21	1	Auto Select Mode		
	REF # Control / Indicator Function	-1	156	8	2	0		21	1	REF # Control / Indicator Function		
1	Start Start button. Engages the engine control display on first press, starts the engine on second press.	2	157	8	2	0		21	0	Start Start button. Engages the engine control display on first press, starts the engine on second press.	The engine control display is engaged on first press, starts the engine on second press. When illuminated indicates problem with charging system Oil Pressure - this indicator is a warning indication if engine temperature not within normal operating conditions'stop and reset' buttons are pre-programmed to VMDS specifications and are NOT adjustable – scrolls to display OEM settings & auto mode. Click here for more information about these monitor options. Read our full manual at www	
2	LED Indicator Lights Charging :  This is a warning indicator. When illuminated, indicates problem with charging system Oil Pressure : This is a warning indicator.  When illuminated the oil pressure is not within normal parameters. Overheat : This is a warning indicator.  When illuminated, indicates engine temperature is not within normal parameters. [Shut the system down and check the coolant system.] Glow Plugs : When the GREEN start engine button is pushed for the second time, the glow plugs RED LED light will light up for approximately 6 seconds. Then engine will start.	2	157	8	2	0		21	0	LED Indicator Lights Charging : This is an indicator. When illuminated, indicates problem with charging system Oil Pressure - this is a warning indicator. Overheat - when illuminated, indicates engine temperature not within		
3	Main Status Display The window for viewing and monitoring engine speed, voltage and run hours. Also displays the warning and shutdown status of the engine. These monitors are PRE-PROGRAMMED	2	157	8	2	0		21	0	Main Status Display The window for viewing and monitoring engine speed, voltage and run hours. Also displays the warning and shutdown status of the engine. These monitors are PRE-PROGRAMMED		
4	Common Alarm Indicator Designates problems with engine functions. If a problem occurs during operation of power unit, the indicator will light up and indicate problem. Refer to Troubleshooting section of this manual or contact maintenance support.	2	157	8	2	0		21	0	Common Alarm Indicator Designates problems with engine functions. If a problem occurs during operation of power unit, the indicator will light up and indicate problem. Refer to Troubleshooting section of this manual or contact maintenance support.		
5	Navigation Button PRE-PROGRAMMED – Preset to VMDS specifications and are not adjustable. Scrolls to display OEM settings.	2	157	8	2	0		21	0	Navigation Button PRE-PROGRAMMED – Preset to VMDS specifications and are not adjustable. Scrolls to display OEM settings.		
6	Select Auto Mode This mode is not used by VMDS.	2	157	8	2	0		21	0	Select Auto Mode This mode is not used by VMDS.		
7	Stop and Reset Stops and resets power unit.	2	157	8	2	0		21	0	Stop and Reset Stops and resets power unit.		
3.0	TANKS	0	158	9	0	0	TANKS	22	0	TANKS	WARNING! Although the tanks are sturdy and supported with internal baffles, do not stand on them as they may become very slippery and can create a slip and fall hazard.	WARNING! Although the tanks are sturdy and supported with internal baffles, do not stand on them as they may become very slippery and can create a slip and fall hazard. 750-gallon tanks must always be mounted on either 5-tonne truck or 5-ton trailer. There are cutouts in the forward ends of tank platform that incorporate room for the stanchion. The tanks must always For trailer mounted tanks, the hose attachments may be oriented toward the rear or front of the trailer.  The tank should be mounted over the axles and slightly forward of the center of gravity on the trailer. Tanks are built with a 4-way, modular platform skid design which allows 360-degree forklifting capability. EMPTY tanks can also be lifted from underneath with extended forked or other lifting equipment. Both tanks have an approximate
